data_spec,prior,parameter,mean,median,ci_2.5,ci_97.5,p_gt_0,p_lt_0,conclusion
inv_markup,baseline,alpha,0.6483783339178263,0.6340835178201518,0.5539324645648191,0.775870497553544,1.0,0.0,
inv_markup,baseline,kappa_0,0.10081138637389486,0.0782838187901134,-0.18776888829710445,0.4623127137714925,0.675,0.325,
inv_markup,baseline,delta,-0.0006403515829263024,-0.0006811494783833434,-0.0027943633081006173,0.0021221124318341928,0.3,0.7,
inv_markup,baseline,rho_1,1.8053910400287911,1.7946365352472446,1.7062475459420927,1.8952959023380422,1.0,0.0,
inv_markup,baseline,rho_2,-0.8090344458140752,-0.7988947823944632,-0.8973019211179365,-0.7094560356172313,0.0,1.0,
inv_markup,baseline,sigma_e,0.6784647498580204,0.6781328154831319,0.6218791159337358,0.7501868997436291,1.0,0.0,
inv_markup,baseline,sigma_zeta,0.5044827353106718,0.4963858474839832,0.4495184885284086,0.5570223893360347,1.0,0.0,
inv_markup,baseline,sigma_u,0.5105317964051184,0.48638338514870516,0.4296368410055751,0.6400137356067704,1.0,0.0,
inv_markup,baseline,sigma_eps,0.39008659928616396,0.38844902560516953,0.325490121902204,0.5235312449705092,1.0,0.0,
inv_markup,baseline,sigma_N,0.2989203925386111,0.2975622755991089,0.26038108641703944,0.3340819741617961,1.0,0.0,
inv_markup,weak,alpha,0.6458009291074946,0.6486106170669665,0.5431699858574964,0.7533646134887291,1.0,0.0,
inv_markup,weak,kappa_0,0.2063437157982572,0.1583119689589597,-0.7736274428606137,1.3391613994257139,0.625,0.375,
inv_markup,weak,delta,-0.0009140924760117471,-0.000854526148047634,-0.006598222900901659,0.004077090282612756,0.375,0.625,
inv_markup,weak,rho_1,1.9068555561890776,1.9104776787954267,1.832773713177907,1.9712890823573925,1.0,0.0,
inv_markup,weak,rho_2,-0.9096140321678667,-0.9115706502158234,-0.9730051593600154,-0.8367018236592008,0.0,1.0,
inv_markup,weak,sigma_e,0.6770669173284729,0.6717248299821763,0.6028651094735167,0.7878485415530057,1.0,0.0,
inv_markup,weak,sigma_zeta,0.5022142451440007,0.4987765470695375,0.4479515544144129,0.5508582199265049,1.0,0.0,
inv_markup,weak,sigma_u,0.4182697791293265,0.41618831746198015,0.35210941200345897,0.48266137641593526,1.0,0.0,
inv_markup,weak,sigma_eps,0.30402063167191506,0.30354908809940606,0.24088238570654502,0.36252199958390074,1.0,0.0,
inv_markup,weak,sigma_N,0.22680441751086686,0.22147147312110219,0.19574618782370984,0.2747070528900908,1.0,0.0,
inv_markup,tight,alpha,0.6124335878747832,0.6077567282223864,0.5147065743258562,0.7208096915773166,1.0,0.0,
inv_markup,tight,kappa_0,0.09957450694529173,0.10656699243447229,-0.13443734645212546,0.28680247585026863,0.875,0.125,
inv_markup,tight,delta,-0.0008008893854885249,-0.0006709283864403241,-0.0022578551335782314,0.0004517570347228602,0.175,0.825,
inv_markup,tight,rho_1,0.5520621533918153,0.5496240669886825,0.3923839099950359,0.6862821000090529,1.0,0.0,
